OA,ts006_0001
E00061050,7738.1
E00061064,11.5
E00061049,4813.5
E00061057,3524.4
E00061059,3056.5
E00061061,20.4
E00061052,2597.8
E00061053,4332.5
E00061056,3549.3
E00061058,5967.4
E00174125,1407.7
E00061408,3836.6
E00061409,4667.7
E00061410,4520.4
E00061413,2539.1
E00061414,3499.1
E00061406,4311
E00061416,3308.4
E00061417,5210.2
E00061420,2502.4
E00061426,2748.9
E00061407,7047.4
E00061411,1779.1
E00061427,5821.3
E00061428,5584.7
E00061429,652.5
E00061412,6482.3
E00061415,3148.1
E00061418,1962.8
E00061422,3750
E00188253,5910.5
E00188260,4755.7
E00188317,8211.9
E00061421,3864.5
E00061423,4354.4
E00061425,4845.4
E00174132,7387.8
E00174134,5276.6
E00061446,8379.3
E00061454,7481.1
E00061455,8583.3
E00061456,6142.9
E00061457,6089
E00061448,3511.3
E00061449,5925.1
E00061450,5460.8
E00061451,5409.2
E00061452,8047.5
E00061453,1105.4
E00061161,6258.7
E00061169,6238.5
E00061171,5000
E00061174,7606.2
E00061179,8170.2
E00061159,7073.8
E00061173,4035.7
E00061181,5682.9
E00188213,7337.1
E00188235,8041.5
E00061163,5640.2
E00061165,4891.8
E00061178,3303.8
E00188227,7364.9
E00188250,6000
E00188300,7787.1
E00188307,3713.8
E00188324,6139.1
E00061162,4509.5
E00061167,2919.3
E00061172,2443.7
E00061176,3605.1
E00061180,4724.9
E00061164,4413.4
E00061166,1711.3
E00061168,4117.6
E00061175,6527.3
E00061182,3810.8
E00061227,2464.6
E00061229,2767.1
E00165770,210.8
E00174120,171.2
E00174128,4782
E00174129,438.4
E00174130,4712
E00174133,96.3
E00188266,1396.7
E00188292,7005.3
E00061217,5037.9
E00061220,4613.9
E00061221,4437.1
E00061222,3758.2
E00061223,1677.9
E00061231,6012.1
E00061213,609.8
E00061216,6306.8
E00061218,3181.8
E00061219,11397.4
E00061230,10737.7
E00061214,6050.6
E00061224,548.5
E00061225,2373.3
E00061228,4582.7
E00061292,4731.7
E00061299,2939.8
E00061305,3536
E00061306,4657.8
E00061307,6163.7
E00061301,6076.6
E00061308,4525.9
E00061309,6961.5
E00061310,3991.2
E00061311,1834
E00061313,246.2
E00061293,5856.2
E00061297,2025
E00061302,5879.6
E00061303,5220.4
E00061312,6711.6
E00061314,3047
E00061294,4705.9
E00061295,3756.3
E00061296,6719.5
E00061298,4773.2
E00061300,3784.1
E00061304,2551.7
E00061316,950.1
E00061327,6053.8
E00061329,1529.6
E00061332,1356.2
E00061334,1103.7
E00061317,1830.9
E00061318,4456.1
E00061319,14266.7
E00061320,12000
E00061321,11370.6
E00061335,10140.8
E00061315,2747.8
E00061322,963.3
E00061323,4798.1
E00061324,1536.2
E00061331,1677.9
E00061325,7216.2
E00061326,4982.6
E00061328,497.5
E00061330,9252
E00061333,7263.6
E00061098,5728.7
E00061101,3516
E00061102,4617.3
E00061103,8871.8
E00061104,9577
E00061091,4393.7
E00061105,1766.3
E00061106,1585.7
E00061107,5795.7
E00061108,4090.9
E00061385,8451.4
E00061386,6290
E00061389,6491.6
E00061404,5429.4
E00061405,7493
E00061092,7685.7
E00061095,2693.3
E00061096,5663.4
E00061097,7594.6
E00061099,7152.2
E00061100,1933.2
E00174124,465.1
E00061005,966.8
E00061007,3126.5
E00061009,2031
E00061017,60.9
E00061004,1145.6
E00061012,1274.7
E00061016,1268.5
E00061018,6042.6
E00061008,5723.4
E00061011,3986.9
E00061019,5711.5
E00188182,2708.7
E00188268,398.6
E00061010,4181
E00061013,8340.9
E00061014,1085.2
E00061015,8548.9
E00061020,3181.8
E00061069,6107.5
E00061070,4431
E00165774,6433.2
E00188170,5611.7
E00061067,336.4
E00061068,214.8
E00061074,726
E00061076,2948.9
E00061090,5458.9
E00061065,7621.2
E00061075,6418.7
E00061077,3188.6
E00061078,8597.3
E00061080,8955.7
E00061066,7556.2
E00061079,4829.5
E00061081,5248.9
E00061082,3748.3
E00061084,6409.5
E00061387,5703.7
E00061393,6119.4
E00165775,1932.6
E00165776,4472
E00165777,6172.2
E00061388,6095.9
E00061391,4841.5
